rank	word	occurrences	heuristic_group
1	й	37793	one_letter
2	б	25136	one_letter
3	һ	17388	one_letter
4	се	16325	lower_two_letters
5	йй	13396	lower_two_letters
6	М	12680	one_letter
7	БР	12579	all_upper
8	В	9447	one_letter
9	С	8849	one_letter
10	Н	6986	one_letter
11	Р	6865	one_letter
12	К	6356	one_letter
13	сы	6115	lower_two_letters
14	м	5965	one_letter
15	Б	5521	one_letter
16	ҡ	5262	one_letter
17	км	5159	lower_two_letters
18	Т	5121	one_letter
19	Ғ	4939	one_letter
20	Ф	4864	one_letter
21	П	4451	one_letter
22	Г	4174	one_letter
23	Х	3587	one_letter
24	Д	3309	one_letter
25	т	3086	one_letter
26	РФ	2979	all_upper
27	ҙән	2802	lower_lexical_3plus
28	Л	2588	one_letter
29	гә	2567	lower_two_letters
30	Ҡ	2532	one_letter
31	Ҡазан	2529	initial_upper
32	З	2471	one_letter
33	с	2349	one_letter
34	сө	2290	lower_two_letters
35	тарихы	2226	lower_lexical_3plus
36	н	2150	one_letter
37	респ	2032	lower_lexical_3plus
38	күҙаллана	1984	lower_lexical_3plus
39	Е	1981	one_letter
40	х	1912	one_letter
41	Ш	1809	one_letter
42	к	1750	one_letter
43	станц	1696	lower_lexical_3plus
44	млн	1585	lower_lexical_3plus
45	тиклемге	1548	lower_lexical_3plus
46	нән	1490	lower_lexical_3plus
47	ы	1477	one_letter
48	ға	1401	lower_two_letters
49	Ю	1338	one_letter
50	Респ	1327	initial_upper
51	Й	1318	one_letter
52	етәкс	1264	lower_lexical_3plus
53	Көнб	1262	initial_upper
54	см	1244	lower_two_letters
55	Көнс	1231	initial_upper
56	тотондо	1228	lower_lexical_3plus
57	губерн	1225	lower_lexical_3plus
58	е	1170	one_letter
59	тиҙәр	1115	lower_lexical_3plus
60	р	1095	one_letter
61	өлк	1074	lower_lexical_3plus
62	кг	986	lower_two_letters
63	инновацион	956	lower_lexical_3plus
64	ның	925	lower_lexical_3plus
65	шағиры	917	lower_lexical_3plus
66	фатирлы	891	lower_lexical_3plus
67	Һ	888	one_letter
68	са	886	lower_two_letters
69	соц	883	lower_lexical_3plus
70	Башнефть	869	initial_upper
71	ғалимдар	865	lower_lexical_3plus
72	Матиуш	863	initial_upper
73	инек	854	lower_lexical_3plus
74	г	841	one_letter
75	табибы	796	lower_lexical_3plus
76	Поллианна	776	initial_upper
77	паркы	772	lower_lexical_3plus
78	или	768	lower_lexical_3plus
79	ғы	765	lower_two_letters
80	аллы	763	lower_lexical_3plus
81	в	761	one_letter
82	иҡт	757	lower_lexical_3plus
83	БРИКС	737	all_upper
84	тарихын	716	lower_lexical_3plus
85	Газпром	714	initial_upper
86	ф	710	one_letter
87	ААЙ	703	all_upper
88	адресы	693	lower_lexical_3plus
89	ҙың	685	lower_lexical_3plus
90	табиптар	671	lower_lexical_3plus
91	ҙан	665	lower_lexical_3plus
92	ҡҡ	663	lower_two_letters
93	нач	654	lower_lexical_3plus
94	басс	651	lower_lexical_3plus
95	бб	650	lower_two_letters
96	п	647	one_letter
97	авг	641	lower_lexical_3plus
98	акад	640	lower_lexical_3plus
99	сент	617	lower_lexical_3plus
100	яуа	617	lower_lexical_3plus
101	мед	612	lower_lexical_3plus
102	тарихында	601	lower_lexical_3plus
103	ғин	586	lower_lexical_3plus
104	Благовар	580	initial_upper
105	полкы	577	lower_lexical_3plus
106	Фәһим	576	initial_upper
107	Ғәскәров	564	initial_upper
108	проф	559	lower_lexical_3plus
109	паркында	558	lower_lexical_3plus
110	ғалимдары	549	lower_lexical_3plus
111	з	536	one_letter
112	ү	535	one_letter
113	АҠШ	526	all_upper
114	лаб	524	lower_lexical_3plus
115	керҙәшлек	523	lower_lexical_3plus
116	Ҡазанда	517	initial_upper
117	Танабай	509	initial_upper
118	Краснокама	508	initial_upper
119	урынлыҡ	508	lower_lexical_3plus
120	февр	503	lower_lexical_3plus
121	нефтехимия	500	lower_lexical_3plus
122	ЯСЙ	497	all_upper
123	дир	490	lower_lexical_3plus
124	муз	487	lower_lexical_3plus
125	ны	484	lower_two_letters
126	ө	481	one_letter
127	мм	474	lower_two_letters
128	ЮНЕСКО	471	all_upper
129	БР-ҙа	470	initial_upper
130	фаразлана	469	lower_lexical_3plus
131	гәз	467	lower_lexical_3plus
132	млрд	460	lower_lexical_3plus
133	д	455	one_letter
134	шағирҙың	455	lower_lexical_3plus
135	Ихтиандр	446	initial_upper
136	тарихына	446	lower_lexical_3plus
137	ын	444	lower_two_letters
138	пр	443	lower_two_letters
139	окт	434	lower_lexical_3plus
140	Роспотребнадзор	431	initial_upper
141	дән	425	lower_lexical_3plus
142	ком	411	lower_lexical_3plus
143	БДУ-ла	409	initial_upper
144	ж	407	one_letter
145	БР-ҙың	402	initial_upper
146	де	400	lower_two_letters
147	л	400	one_letter
148	төшөүе	395	lower_lexical_3plus
149	апр	394	lower_lexical_3plus
150	ЮХХДИ	392	all_upper
151	див	381	lower_lexical_3plus
