rank	word	occurrences
1	йй	13395
2	Ҡазан	2529
3	н	2055
4	б	1475
5	Көнб	1262
6	Көнс	1231
7	инновацион	956
8	С	934
9	ы	923
10	са	885
11	Башнефть	865
12	Матиуш	863
13	с	859
14	р	776
15	Поллианна	776
16	или	768
17	аллы	763
18	ның	763
19	ғы	757
20	БРИКС	733
21	в	709
22	Газпром	677
23	ҡҡ	663
24	бб	650
25	яуа	617
26	Благовар	580
27	Фәһим	576
28	Ғәскәров	564
29	АҠШ	526
30	Ҡазанда	517
31	Танабай	509
32	Краснокама	508
33	г	502
34	нефтехимия	500
35	ЯСЙ	497
36	БР-ҙа	470
37	ҙың	468
38	Ихтиандр	446
39	пр	443
40	к	413
41	БДУ-ла	409
42	БР-ҙың	402
43	апр	394
44	ЮХХДИ	392
45	де	382
46	средстволар	378
47	ны	376
48	ын	374
49	Роспотребнадзор	373
50	ҒТИ-нда	366
51	нояб	361
52	Башгидромет	353
53	Һиндостан	352
54	ФА-ның	350
55	БДУ-ны	345
56	ст	343
57	пед	340
58	Чиполлино	334
59	Бэк	328
60	БДБ	324
61	Уфа	323
62	л	315
63	ц	311
64	РФ-тың	306
65	Башавтотранс	296
66	средстволары	290
67	ССР-ы	289
68	нда	286
69	ҙең	284
70	Оксана	279
71	Орск	278
72	ты	276
73	Рима	264
74	Корея	264
75	нындағы	263
76	Зурита	262
77	Багира	259
78	матем	258
79	мәғлүмәти	258
80	Верхнеурал	255
81	не	254
82	фаразлай	249
83	ТӨРКСОЙ	249
84	РИА	248
85	Красноусол	247
86	ЮНЕСКО-ның	247
87	иткес	244
88	Монтанелли	244
89	БДИ	240
90	Новости	239
91	БДМИ-ны	238
92	В	237
93	Кемп	235
94	Бохайыр	232
95	Роспотребнадзорҙың	231
96	ға	228
97	Сальватор	225
98	Башгидрометүҙәк	222
99	РФ-та	221
100	ндә	220
101	Сильвер	218
102	Башкортостана	215
103	ӨДАТУ-ла	210
104	көсәйеүсән	209
105	Кристо	206
106	адм	206
107	ижт	206
108	Хәтми	205
109	Нефтехимия	204
110	Раевка	201
111	БДУ-ның	199
112	Ҡазанға	196
113	БДМУ-ла	193
114	Әлибай	193
115	Тажикстан	192
116	ҒТИ	191
117	ижтимәғи-сәйәси	189
118	Пустовгаров	185
119	Фидус	183
120	Морозка	183
121	ТВ	183
122	Фанфан	182
123	з-ды	182
124	табл	182
125	Бальтазар	181
126	ӨНИ-не	180
127	фп	177
128	чемп	177
129	Лоҡманхәким	176
130	Рустең	175
131	макс	174
132	ЮС-ының	174
133	ӨДНТУ-ла	172
134	ААЙ-нда	172
135	Мелкоедов	172
136	Тажетдин	171
137	ДЮСШ	170
138	мг	170
139	Башҡ	168
140	Енакиев	167
141	Фелек	165
142	ЯАЙ	164
143	банктар	163
144	миль	162
145	Сипайлово	162
146	геогр	161
147	Исәт	161
148	Гулливер	160
149	корпоратив	160
150	Мартини	160
151	Гөлһары	159
152	РФА	158
153	Рустә	157
154	интервьюһында	157
155	Момун	156
156	ВКП	156
157	Слезин	156
158	Карабас	156
159	Кәшфулла	154
160	Матиуштың	154
161	брифингта	154
162	ХК	154
