page	title	examples	accepted	rejected	sha256
algram/algram.htm	АЛГОРИТМИЧЕСКАЯ ГРАММАТИКА	0	0	0	c0852fbbea8676cda7b2dd9179c8760efe1ebf4e58c52ac1e22c2389d748a12b
algram/glagol.htm	ПОРОЖДАЮЩАЯ МОДЕЛЬ СЛОВОФОРМ ДЛЯ ГЛАГОЛОВ	15	5	10	c7d79ad97d2ad86e9692186072edb393b0cb5e8be604bdbd789427ac51742448
algram/liter.htm	ЛИТЕРАТУРА	1	0	1	d531edc35dd216ed136aa164ea968cc1bd6c531ed66c000f722f27b3492f12e0
algram/narech.htm	ПОРОЖДАЮЩАЯ МОДЕЛЬ СЛОВОФОРМ ДЛЯ НАРЕЧИЙ	1	0	1	00b5e733e8d56175787159bbc9613dd28eefdec71a57a60b2da7ac3c272a6c02
algram/obchie.htm	ОБЩЕЕ ПОЛОЖЕНИЕ	33	30	3	1a6220a69f0b931fe050435302c8c9559f0fac1913b206fd0a33ad50c39be5a7
algram/pril.htm	ПОРОЖДАЮЩАЯ МОДЕЛЬ СЛОВОФОРМ ДЛЯ ПРИЛАГАТЕЛЬНЫХ	1	0	1	175607e3177e77ae8c31a23f648af82e180ddab992479571c503f68553d55f9b
algram/such.htm	ПОРОЖДАЮЩАЯ МОДЕЛЬ СЛОВОФОРМ ДЛЯ	15	9	6	e4f571a0b7d8153ef8bad1a815fd5d80447e630cb8c037ddf476276a59b88a22
algram/vvedenie.htm	ВВЕДЕНИЕ	1	0	1	f50196dcd425ec074e34092053f94d9ccde1a48bd86f7f99f6bdc8c30fe5bd4e
gram/alfavit/alfavit.htm	БАШКИРСКИЙ АЛФАВИТ И ОРФОГРАФИЯ	0	0	0	99a88b7ab6e7240f5eaa9a03baca72f840e10b1662ef7d0fc90b091a91ff130d
gram/alfavit/princpisma.htm	ХАРАКТЕР И ОСНОВНЫЕ ПРИНЦИПЫ ПИСЬМА	327	268	59	101ee5017c6a59ee9ee143dae7f6682c98c93452cd2e9cfeec6e7e46433d6e5b
gram/alfavit/princpisma1.htm	1. Башҡорт әҙәби теленән алфавите һәм орфографияһы. Яуаплы ред. Т. Ғ. Баишев, Өфө, 1940.	0	0	0	df6daa6084db6495501bc2f599957d0fa71615932ca20aa97f1005e70e3fae2b
