# Original symbolic flag	Numeric Hunspell flag
A01	1
A02	2
A03	3
A04	4
A05	5
A06	6
A07	7
A08	8
A09	9
A10	10
A11	11
A12	12
A13	13
A14	14
A15	15
A16	16
A33	17
B01	18
B02	19
B03	20
B04	21
B05	22
B06	23
B07	24
B08	25
B09	26
B10	27
B11	28
B12	29
B13	30
B14	31
B15	32
B16	33
C01	34
D01	35
D02	36
D03	37
D04	38
D05	39
D06	40
D07	41
D08	42
D09	43
D10	44
D11	45
D12	46
D13	47
D14	48
D15	49
D16	50
E1	51
E2	52
F1	53
F2	54
F3	55
F4	56
F5	57
F6	58
F7	59
I01	60
L01	61
L02	62
L03	63
L04	64
L05	65
L06	66
L07	67
L08	68
L09	69
L10	70
L11	71
L12	72
L13	73
L14	74
L15	75
L16	76
M01	77
M02	78
M03	79
M04	80
M05	81
M06	82
M07	83
M08	84
M09	85
M10	86
M11	87
M12	88
M13	89
M14	90
M15	91
M16	92
M17	93
M18	94
N01	95
N02	96
N03	97
N04	98
N05	99
N06	100
N07	101
N08	102
N09	103
N10	104
N11	105
N12	106
N13	107
N14	108
N15	109
N16	110
N23	111
N33	112
N34	113
N35	114
O01	115
O02	116
O03	117
O04	118
O05	119
O06	120
O07	121
O08	122
O09	123
O10	124
O11	125
O12	126
O13	127
O14	128
O15	129
O16	130
O17	131
O18	132
O19	133
O20	134
O38	135
O39	136
O40	137
O41	138
O42	139
O43	140
O44	141
O45	142
O46	143
O47	144
O48	145
O49	146
O50	147
O51	148
O52	149
O53	150
O54	151
O55	152
O56	153
O57	154
O58	155
O59	156
P01	157
Q01	158
Q02	159
Q03	160
Q04	161
Q05	162
Q06	163
Q07	164
Q08	165
Q09	166
Q10	167
Q11	168
Q12	169
Q13	170
Q14	171
Q15	172
Q16	173
R01	174
R02	175
R03	176
R04	177
R05	178
R06	179
R07	180
R08	181
R09	182
R10	183
R11	184
R12	185
R13	186
R14	187
R15	188
R16	189
S01	190
T1	191
T2	192
T3	193
T4	194
U01	195
U02	196
U03	197
U04	198
U09	199
U10	200
U11	201
U12	202
U20	203
U21	204
U22	205
U23	206
U24	207
U25	208
U26	209
U27	210
U28	211
U30	212
U31	213
U32	214
V01	215
V02	216
V03	217
V04	218
V05	219
V06	220
V07	221
V08	222
V09	223
V10	224
V11	225
V12	226
V13	227
V14	228
V15	229
V16	230
V25	231
V26	232
V27	233
V28	234
V35	235
V36	236
V45	237
W01	238
W02	239
W03	240
W04	241
W05	242
W06	243
W07	244
W08	245
W09	246
W10	247
W11	248
W12	249
W13	250
W14	251
W15	252
W16	253
W17	254
W18	255
W19	256
W20	257
W21	258
W22	259
W23	260
W24	261
W25	262
W26	263
W27	264
W28	265
W29	266
W30	267
W31	268
W32	269
W33	270
W34	271
W35	272
W36	273
W37	274
W38	275
W39	276
W40	277
W41	278
W42	279
W43	280
W44	281
W45	282
W50	283
W51	284
W52	285
W53	286
W54	287
W55	288
W56	289
W57	290
W58	291
W59	292
W60	293
W61	294
W62	295
W63	296
W64	297
W65	298
W66	299
W67	300
W68	301
W69	302
W70	303
W71	304
W72	305
W73	306
W74	307
W75	308
W76	309
W77	310
W78	311
W79	312
W80	313
W81	314
W82	315
W83	316
W84	317
W85	318
Z01	319
Z02	320
Z03	321
Z04	322
Z05	323
N36	324
N37	325
N38	326
A34	327
V46	328
V47	329
V48	330
V49	331
N39	332
W86	333
